community,quarter,avg_price_usd,avg_price_per_sqft,n_transactions,avg_area,avg_bedrooms,pct_furnished,avg_metro_dist,ln_price_per_sqft,avg_mortgage_rate_pct,cbuae_base_rate_pct
Al Barsha South,2020Q1,182192.3076923077,173.46153846153845,26,1043.4615384615386,1.5384615384615383,0.2307692307692307,41.96153846153846,5.155955894475242,3.0,1.5
Al Barsha South,2020Q2,224045.45454545456,170.1818181818182,22,1290.0,1.9090909090909092,0.3181818181818182,36.59090909090909,5.136867384239167,1.9,0.4
Al Barsha South,2020Q3,189831.81818181815,167.27272727272728,22,1131.0,1.6363636363636365,0.1363636363636363,39.68181818181818,5.119625577804661,1.9,0.4
Al Barsha South,2020Q4,184509.52380952385,162.14285714285714,21,1151.952380952381,1.619047619047619,0.1904761904761904,52.42857142857143,5.08847778086019,1.9,0.4
Al Barsha South,2021Q1,214076.0,171.16,25,1221.36,1.76,0.32,52.0,5.142598791548616,1.9,0.4
Al Barsha South,2021Q2,205978.57142857145,184.6071428571429,28,1102.107142857143,1.6428571428571428,0.3214285714285714,35.25,5.218230015020835,1.9,0.4
Al Barsha South,2021Q3,221409.52380952385,195.8095238095238,21,1151.3333333333333,1.6666666666666667,0.3333333333333333,43.76190476190476,5.277142369411578,1.9,0.4
Al Barsha South,2021Q4,194777.2727272727,194.8181818181818,22,964.2272727272727,1.4545454545454546,0.3636363636363636,43.04545454545455,5.2720667226752065,1.9,0.4
Al Barsha South,2022Q1,243785.7142857143,213.03571428571428,28,1157.357142857143,1.5,0.25,39.142857142857146,5.361459824356812,1.9,0.4
Al Barsha South,2022Q2,176168.18181818182,222.9090909090909,22,791.6363636363636,0.9545454545454546,0.2272727272727272,53.13636363636363,5.406764024257732,2.9,1.4
Al Barsha South,2022Q3,270522.22222222225,243.61111111111111,18,1128.8333333333333,1.3888888888888888,0.5,50.388888888888886,5.495573146910119,2.9,1.4
Al Barsha South,2022Q4,289388.23529411765,263.8235294117647,17,1140.4117647058824,1.6470588235294117,0.4117647058823529,36.35294117647059,5.57528043043668,5.9,4.4
Al Barsha South,2023Q1,253105.55555555556,274.77777777777777,18,944.7777777777778,1.1666666666666667,0.3888888888888889,58.94444444444444,5.615962690185197,5.9,4.4
Al Barsha South,2023Q2,275368.4210526316,285.6842105263158,19,957.5263157894736,1.3157894736842106,0.1578947368421052,35.1578947368421,5.654887041788319,5.9,4.4
Al Barsha South,2023Q3,266477.77777777775,299.3888888888889,18,894.2777777777778,1.1666666666666667,0.3888888888888889,44.333333333333336,5.701743360037332,6.9,5.4
Al Barsha South,2023Q4,266917.39130434784,308.60869565217394,23,863.9130434782609,0.9130434782608696,0.3043478260869565,39.69565217391305,5.732074117277292,6.9,5.4
Al Barsha South,2024Q1,318251.85185185185,289.81481481481484,27,1112.6296296296296,1.5925925925925926,0.1481481481481481,36.51851851851852,5.669242149404025,6.9,5.4
Al Barsha South,2024Q2,250886.2068965517,303.82758620689657,29,824.0344827586207,1.103448275862069,0.1724137931034483,40.3448275862069,5.716460389880256,6.9,5.4
Al Barsha South,2024Q3,354468.9655172414,304.86206896551727,29,1158.5172413793102,1.5172413793103448,0.2758620689655172,42.89655172413793,5.719859441419331,6.15,4.65
Al Barsha South,2024Q4,283659.375,290.0625,32,1005.96875,1.34375,0.21875,52.1875,5.670096417001394,6.15,4.65
Al Barsha South,2025Q1,303094.7368421053,298.8421052631579,19,1000.3684210526316,1.4210526315789471,0.2631578947368421,43.78947368421053,5.699915357866476,6.15,4.65
Al Barsha South,2025Q2,323188.23529411765,302.2352941176471,17,1060.7058823529412,1.3529411764705883,0.1764705882352941,44.35294117647059,5.7112058336136124,6.15,4.65
Al Barsha South,2025Q3,301054.1666666667,287.5833333333333,24,1053.4166666666667,1.4583333333333333,0.2083333333333333,47.75,5.661512673310003,5.5,4.0
Al Barsha South,2025Q4,316314.81481481483,304.85185185185185,27,1042.2222222222222,1.5555555555555556,0.2592592592592592,49.851851851851855,5.719825926968315,5.5,4.0
Al Barsha South,2026Q1,266213.7931034483,301.7241379310345,29,860.0689655172414,1.103448275862069,0.2413793103448276,53.172413793103445,5.709513149365186,5.5,4.0
Al Barsha South,2026Q2,362650.0,297.7,10,1193.2,1.7,0.3,31.2,5.69608626802173,5.5,4.0
Al Furjan,2020Q1,154821.73913043478,176.56521739130434,23,873.7826086956521,1.1304347826086956,0.3043478260869565,7.391304347826087,5.173690311757148,3.0,1.5
Al Furjan,2020Q2,158219.04761904763,179.66666666666666,21,870.0952380952381,1.1904761904761905,0.4285714285714285,7.0476190476190474,5.191103282240888,1.9,0.4
Al Furjan,2020Q3,186723.07692307697,179.34615384615384,26,1042.3461538461538,1.5769230769230769,0.3846153846153846,5.230769230769231,5.189317758786839,1.9,0.4
Al Furjan,2020Q4,238500.0,170.0,24,1390.5,1.8333333333333333,0.125,7.916666666666667,5.135798437050262,1.9,0.4
Al Furjan,2021Q1,199429.41176470587,172.1764705882353,17,1156.0588235294117,1.7647058823529411,0.4117647058823529,4.764705882352941,5.14851994263567,1.9,0.4
Al Furjan,2021Q2,307033.3333333333,203.05555555555551,18,1535.1666666666667,2.0555555555555554,0.2777777777777778,7.444444444444445,5.313479614287714,1.9,0.4
Al Furjan,2021Q3,236241.66666666663,202.54166666666663,24,1170.625,1.7083333333333333,0.125,4.25,5.31094562669751,1.9,0.4
Al Furjan,2021Q4,228870.0,216.8,30,1047.1333333333334,1.4666666666666666,0.4,8.066666666666666,5.378975269565491,1.9,0.4
Al Furjan,2022Q1,296975.0,227.1875,16,1278.4375,1.8125,0.0625,8.1875,5.425775667727838,1.9,0.4
Al Furjan,2022Q2,273221.05263157893,250.8421052631579,19,1130.421052631579,1.5263157894736843,0.1052631578947368,5.7368421052631575,5.524823678492247,2.9,1.4
Al Furjan,2022Q3,279848.275862069,248.20689655172413,29,1142.8620689655172,1.6551724137931034,0.1724137931034483,5.344827586206897,5.514262658652502,2.9,1.4
Al Furjan,2022Q4,272153.5714285714,270.2857142857143,28,1011.3928571428572,1.4642857142857142,0.3214285714285714,5.428571428571429,5.59947960055651,5.9,4.4
Al Furjan,2023Q1,298260.8695652174,296.17391304347825,23,981.8260869565216,1.4782608695652173,0.217391304347826,4.956521739130435,5.6909468258534295,5.9,4.4
Al Furjan,2023Q2,315190.9090909091,306.59090909090907,22,1029.5,1.4090909090909092,0.3636363636363636,4.2272727272727275,5.72551431528354,5.9,4.4
Al Furjan,2023Q3,261657.14285714287,309.0,21,834.6190476190476,0.9523809523809524,0.3809523809523809,10.523809523809524,5.733341276897746,6.9,5.4
Al Furjan,2023Q4,384687.5,322.25,24,1219.5416666666667,1.75,0.125,8.583333333333334,5.775327641819297,6.9,5.4
Al Furjan,2024Q1,307388.8888888889,314.22222222222223,18,980.5,1.3333333333333333,0.2222222222222222,11.5,5.750100449680244,6.9,5.4
Al Furjan,2024Q2,321038.46153846156,328.84615384615387,26,979.8846153846154,1.3846153846153846,0.1923076923076923,7.576923076923077,5.795590023909324,6.9,5.4
Al Furjan,2024Q3,289566.6666666667,316.72222222222223,18,907.1111111111112,1.3333333333333333,0.3333333333333333,10.166666666666666,5.758025119135417,6.15,4.65
Al Furjan,2024Q4,366547.82608695654,323.0869565217391,23,1109.2173913043478,1.6521739130434785,0.2608695652173913,9.652173913043478,5.7779215022283195,6.15,4.65
Al Furjan,2025Q1,315404.347826087,314.39130434782606,23,1024.1739130434785,1.565217391304348,0.3478260869565217,7.434782608695652,5.750638402245802,6.15,4.65
Al Furjan,2025Q2,288233.3333333333,295.3333333333333,21,998.4285714285714,1.4761904761904765,0.2857142857142857,5.095238095238095,5.688104661936971,6.15,4.65
Al Furjan,2025Q3,345552.17391304346,307.6521739130435,23,1118.3478260869565,1.4782608695652173,0.217391304347826,6.173913043478261,5.728969839350526,5.5,4.0
Al Furjan,2025Q4,352740.0,320.46666666666664,15,1100.1333333333334,1.5333333333333334,0.4,3.7333333333333334,5.769778266791751,5.5,4.0
Al Furjan,2026Q1,365268.0,303.52,25,1239.44,1.88,0.2,6.68,5.715447506186704,5.5,4.0
Al Furjan,2026Q2,273262.5,317.375,8,854.25,1.125,0.25,5.5,5.760084040024842,5.5,4.0
Al Reem,2020Q1,1000966.6666666666,242.76190476190476,21,4076.380952380952,4.142857142857143,0.238095238095238,67.14285714285714,5.492081147212637,3.0,1.5
Al Reem,2020Q2,893068.4210526316,235.94736842105263,19,3833.7368421052633,3.9473684210526314,0.1578947368421052,64.89473684210526,5.463608764988999,1.9,0.4
Al Reem,2020Q3,897064.2857142857,217.6071428571429,28,4119.857142857143,4.321428571428571,0.2857142857142857,73.28571428571429,5.382691340073291,1.9,0.4
Al Reem,2020Q4,898445.0,223.65,20,4084.35,4.05,0.15,71.15,5.410082329878857,1.9,0.4
Al Reem,2021Q1,972227.2727272728,229.0909090909091,22,4347.863636363636,4.181818181818182,0.2272727272727272,70.95454545454545,5.434118907707099,1.9,0.4
Al Reem,2021Q2,952054.5454545454,234.0,22,4115.181818181818,4.090909090909091,0.1363636363636363,65.86363636363636,5.455321115357702,1.9,0.4
Al Reem,2021Q3,1050117.391304348,265.7826086956522,23,3907.2608695652175,3.782608695652174,0.1304347826086956,72.1304347826087,5.5826787140995755,1.9,0.4
Al Reem,2021Q4,1039995.238095238,272.04761904761904,21,3862.9523809523807,3.9047619047619047,0.2857142857142857,69.57142857142857,5.60597712100104,1.9,0.4
Al Reem,2022Q1,1262985.7142857143,293.57142857142856,14,4253.428571428572,4.285714285714286,0.2142857142857142,80.28571428571429,5.682120977875021,1.9,0.4
Al Reem,2022Q2,1501395.0,322.75,20,4637.0,4.35,0.15,68.35,5.776878029726752,2.9,1.4
Al Reem,2022Q3,1484195.8333333333,361.9166666666667,24,4084.0416666666665,4.291666666666667,0.2916666666666667,64.79166666666667,5.891413982746822,2.9,1.4
Al Reem,2022Q4,1403636.3636363635,355.5,22,3970.090909090909,4.090909090909091,0.2727272727272727,84.18181818181819,5.873525249243295,5.9,4.4
Al Reem,2023Q1,1520845.8333333333,366.625,24,4187.333333333333,4.0,0.2916666666666667,65.33333333333333,5.904339527297615,5.9,4.4
Al Reem,2023Q2,1713677.7777777778,402.55555555555554,18,4255.277777777777,4.222222222222222,0.1666666666666666,70.27777777777777,5.997833113558857,5.9,4.4
Al Reem,2023Q3,1840221.4285714289,426.7142857142857,28,4323.714285714285,4.178571428571429,0.4642857142857143,68.53571428571429,6.056114669160796,6.9,5.4
Al Reem,2023Q4,2014004.761904762,423.2857142857143,21,4736.238095238095,4.571428571428571,0.2857142857142857,64.61904761904762,6.048047398518252,6.9,5.4
Al Reem,2024Q1,1532550.0,418.3888888888889,18,3633.777777777778,3.8333333333333335,0.2777777777777778,68.94444444444444,6.036411356205187,6.9,5.4
Al Reem,2024Q2,2050100.0,440.55,20,4632.25,4.5,0.2,72.5,6.088023946312739,6.9,5.4
Al Reem,2024Q3,1632800.0,400.0833333333333,12,4088.1666666666665,4.25,0.25,60.416666666666664,5.99167285874294,6.15,4.65
Al Reem,2024Q4,1766960.0,445.73333333333335,15,3941.2,4.266666666666667,0.2666666666666666,67.93333333333334,6.099720865877834,6.15,4.65
Al Reem,2025Q1,1664489.4736842106,411.6842105263158,19,4026.631578947368,4.2105263157894735,0.1578947368421052,77.05263157894737,6.020256576149019,6.15,4.65
Al Reem,2025Q2,1749930.0,430.5,30,4103.233333333334,4.033333333333333,0.4,69.8,6.064947323867785,6.15,4.65
Al Reem,2025Q3,1811616.6666666667,410.7916666666667,24,4431.666666666667,4.333333333333333,0.2083333333333333,73.33333333333333,6.018086192227096,5.5,4.0
Al Reem,2025Q4,1546165.2173913044,405.7391304347826,23,3846.782608695652,4.0,0.1739130434782608,66.8695652173913,6.005710417212171,5.5,4.0
Al Reem,2026Q1,1747233.3333333333,408.3333333333333,24,4307.625,4.25,0.2083333333333333,68.33333333333333,6.012083834310718,5.5,4.0
Al Reem,2026Q2,1496455.5555555555,392.77777777777777,9,3839.0,3.888888888888889,0.3333333333333333,72.22222222222223,5.973244000994454,5.5,4.0
Arabian Ranches,2020Q1,1311445.8333333333,312.1666666666667,24,4242.208333333333,4.041666666666667,0.375,67.20833333333333,5.743537233216034,3.0,1.5
Arabian Ranches,2020Q2,1274506.896551724,307.7586206896552,29,4055.965517241379,4.068965517241379,0.3103448275862069,69.37931034482759,5.729315776661366,1.9,0.4
Arabian Ranches,2020Q3,1265668.4210526317,311.42105263157896,19,4099.1578947368425,4.0,0.2631578947368421,66.42105263157895,5.741145863510254,1.9,0.4
Arabian Ranches,2020Q4,1213527.2727272727,286.72727272727275,22,4218.545454545455,4.090909090909091,0.2727272727272727,73.13636363636364,5.658531494724613,1.9,0.4
Arabian Ranches,2021Q1,1166303.8461538462,298.15384615384613,26,3906.423076923077,4.038461538461538,0.1923076923076923,73.53846153846153,5.69760961554912,1.9,0.4
Arabian Ranches,2021Q2,1283832.0,322.36,25,3968.72,4.0,0.08,71.48,5.775668933456311,1.9,0.4
